レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
江戸川,5,予選,6,4161,黒柳浩孝,39,愛知,54,A2,6.30,44.78,6.29,45.16,35,26.19,19,20.93
江戸川,6,予選,1,4009,小林一樹,42,山口,57,B1,4.86,21.84,6.00,42.86,28,18.60,50,29.27
江戸川,6,予選,2,4883,岡部大輝,25,東京,52,B1,5.22,31.94,4.78,37.25,52,39.02,48,46.67
江戸川,6,予選,3,4162,竹本太樹,39,大阪,53,B1,4.18,22.37,5.32,39.47,16,30.95,27,30.00
江戸川,6,予選,4,4729,佐藤謙史,32,福岡,57,B1,4.46,17.86,3.38,7.69,70,16.28,68,43.18
江戸川,6,予選,5,3141,山来和人,59,東京,54,B1,5.21,39.18,5.17,32.08,48,30.23,60,36.36
江戸川,6,予選,6,4956,齊藤大将,26,東京,55,B2,4.72,15.63,3.10,12.86,33,35.71,31,28.57
江戸川,7,予選,1,3879,中村　格,48,岡山,59,B1,4.10,18.69,4.95,25.00,41,35.56,40,37.21
江戸川,7,予選,2,4748,渡邉雄朗,35,東京,52,A1,5.66,43.40,6.46,48.80,13,35.71,65,36.36
江戸川,7,予選,3,3647,伊藤雄二,48,埼玉,51,B1,4.36,20.65,4.57,21.43,57,44.19,69,26.09
江戸川,7,予選,4,4725,佐竹太一,34,兵庫,52,B1,4.38,26.25,4.89,29.79,29,34.88,57,30.23
江戸川,7,予選,5,4780,マイケ田,35,東京,52,B1,4.18,25.00,5.05,29.57,63,31.82,52,46.51
江戸川,7,予選,6,4077,品田直樹,42,東京,50,B1,4.76,26.67,5.60,35.23,53,35.71,37,36.36
江戸川,8,予選,1,4712,冨好祐真,31,兵庫,54,B1,4.29,18.09,5.09,32.35,61,23.81,62,38.10
江戸川,8,予選,2,4388,是澤孝宏,35,滋賀,52,A2,5.70,37.21,5.83,37.74,65,23.91,13,33.33
江戸川,8,予選,3,4093,吉田宗弘,40,東京,50,B1,4.59,27.27,5.61,35.44,14,20.45,21,26.19
江戸川,8,予選,4,3564,桑原　啓,51,福岡,53,B1,4.71,30.97,5.92,41.67,36,44.19,10,35.56
江戸川,8,予選,5,4026,小林　晋,43,東京,53,B2,3.45,6.38,3.91,12.73,67,34.09,34,38.10
江戸川,8,予選,6,4440,萩原知哉,34,東京,54,B1,4.39,22.86,5.07,28.57,46,26.19,30,37.21
江戸川,9,予選特賞,1,4976,金山立樹,27,東京,53,B1,4.23,13.13,3.62,13.79,64,20.93,63,31.71
江戸川,9,予選特賞,2,4677,片橋幸貴,33,滋賀,54,A2,6.23,46.15,6.83,50.00,47,25.58,51,40.91
江戸川,9,予選特賞,3,4861,田中宏樹,33,福岡,53,B1,3.20,8.57,5.10,35.71,15,40.91,67,40.48
江戸川,9,予選特賞,4,4898,菊地敬介,29,埼玉,59,B2,5.09,31.82,4.10,22.41,34,26.19,43,29.55
江戸川,9,予選特賞,5,4598,加藤政彦,37,東京,52,A2,6.00,43.10,6.32,46.67,55,38.10,22,23.26
江戸川,9,予選特賞,6,3714,梶原　正,46,福岡,56,B1,4.19,19.23,5.32,31.58,30,42.86,16,31.71
江戸川,10,予選特賞,1,4608,荒井翔伍,31,東京,54,A2,5.53,37.04,6.27,43.75,24,19.05,47,28.95
江戸川,10,予選特賞,2,4161,黒柳浩孝,39,愛知,54,A2,6.30,44.78,6.29,45.16,35,26.19,19,20.93
江戸川,10,予選特賞,3,5047,國分将太,27,東京,53,B1,3.57,20.75,4.24,22.22,26,25.00,12,27.50
江戸川,10,予選特賞,4,4945,上村宏太,29,東京,52,B1,3.90,18.06,3.77,20.27,32,32.56,29,34.15
江戸川,10,予選特賞,5,4979,中野夢斗,25,愛知,53,B1,4.31,24.44,4.38,23.81,38,29.27,32,24.39
江戸川,10,予選特賞,6,4563,齋藤真之,33,岡山,53,B1,4.67,30.30,4.56,28.21,11,34.15,39,42.86
江戸川,11,予選特選,1,4748,渡邉雄朗,35,東京,52,A1,5.66,43.40,6.46,48.80,13,35.71,65,36.36
江戸川,11,予選特選,2,4875,大塚康雅,26,東京,50,B1,4.80,25.00,5.22,27.78,66,41.86,53,45.65
江戸川,11,予選特選,3,4956,齊藤大将,26,東京,55,B2,4.72,15.63,3.10,12.86,33,35.71,31,28.57
江戸川,11,予選特選,4,4950,高岡竜也,28,山口,52,B1,5.04,31.43,5.00,29.17,23,30.95,71,42.22
江戸川,11,予選特選,5,4917,岩橋裕馬,32,兵庫,52,B1,3.61,10.87,4.46,20.51,18,16.28,36,26.67
江戸川,11,予選特選,6,4544,松田大志,33,福岡,52,A1,7.08,56.83,8.09,68.75,45,53.66,41,42.86
江戸川,12,記者選抜戦,1,3685,荒井輝年,47,岡山,56,A1,5.65,34.31,6.28,44.78,56,23.26,26,21.43
江戸川,12,記者選抜戦,2,4162,竹本太樹,39,大阪,53,B1,4.18,22.37,5.32,39.47,16,30.95,27,30.00
江戸川,12,記者選抜戦,3,4813,宮内直哉,31,東京,53,B1,4.59,28.57,4.05,25.45,10,47.83,20,28.89
江戸川,12,記者選抜戦,4,4723,寺島吉彦,35,東京,49,B1,4.06,20.00,4.84,28.57,25,28.57,35,20.00
江戸川,12,記者選抜戦,5,4750,井上尚悟,34,大阪,51,B1,3.72,16.28,4.58,23.68,17,29.27,23,27.91
江戸川,12,記者選抜戦,6,4388,是澤孝宏,35,滋賀,52,A2,5.70,37.21,5.83,37.74,65,23.91,13,33.33
